date,aqi,pm25,pm10,so2,co,no2,o3
1/10/2016,220,170,202,11,1.3,86,118
2/10/2016,233,183,201,6,1.4,72,132
3/10/2016,159,121,140,3,1.1,58,132
4/10/2016,47,31,44,3,1.1,37,34
5/10/2016,83,61,91,2,1.2,42,57
6/10/2016,95,71,0,4,1.6,48,11
7/10/2016,55,39,17,2,1.6,43,15
8/10/2016,33,13,29,2,0.5,26,60
9/10/2016,67,33,64,4,0.7,53,33
10/10/2016,122,92,127,10,1.2,79,31
11/10/2016,149,114,130,8,1.4,65,62
12/10/2016,107,80,102,6,1.2,64,51
13/10/2016,206,156,189,5,1.6,75,78
14/10/2016,292,242,258,6,2,93,73
15/10/2016,236,186,226,4,1.9,88,4
16/10/2016,153,117,137,3,1,58,55
17/10/2016,85,63,101,2,0.9,53,61
18/10/2016,160,122,158,6,1.8,72,10
19/10/2016,278,228,228,5,2.3,83,38
20/10/2016,115,87,0,6,1.4,54,27
21/10/2016,60,43,0,2,0.8,39,33
22/10/2016,38,15,25,2,0.6,30,36
23/10/2016,55,28,52,4,0.6,44,38
24/10/2016,87,64,113,3,1.2,58,4
25/10/2016,133,101,135,3,1.5,74,8
26/10/2016,69,42,88,4,0.8,50,46
27/10/2016,63,30,66,5,1,50,11
28/10/2016,38,11,29,2,0.4,30,58
29/10/2016,59,26,62,4,0.6,47,42
30/10/2016,66,44,81,5,0.8,42,54
31/10/2016,29,9,25,4,0.3,19,57
1/11/2016,69,45,74,9,0.7,55,37
2/11/2016,140,107,149,10,1.5,82,23
3/11/2016,243,193,241,9,2.6,104,11
4/11/2016,292,242,271,6,3.4,119,12
5/11/2016,230,180,203,5,3.1,95,36
6/11/2016,95,71,97,10,1.2,56,40
7/11/2016,53,37,43,3,0.8,39,50
8/11/2016,67,39,71,7,0.8,53,36
9/11/2016,208,158,194,14,2.5,86,5
10/11/2016,199,149,178,8,1.8,70,15
11/11/2016,110,83,124,7,1.7,65,16
12/11/2016,100,75,124,10,1.5,66,28
13/11/2016,132,100,165,11,2.3,72,4
14/11/2016,62,39,73,4,0.9,35,61
15/11/2016,79,45,84,13,1.5,63,23
16/11/2016,132,100,147,16,2.2,80,21
17/11/2016,149,114,165,22,2.5,70,6
18/11/2016,242,192,280,19,3.7,87,3
19/11/2016,165,125,133,9,1.8,65,49
20/11/2016,70,51,0,4,1.1,41,25
21/11/2016,30,10,21,3,0.4,15,60
22/11/2016,28,8,21,4,0.4,21,55
23/11/2016,44,19,33,8,0.6,35,43
24/11/2016,102,76,107,18,1.5,70,25
25/11/2016,214,164,205,24,2.6,97,8
26/11/2016,315,265,361,22,3.5,117,13
27/11/2016,68,49,80,7,0.9,45,58
28/11/2016,97,63,101,18,1.7,77,16
29/11/2016,129,98,146,26,2.6,81,4
30/11/2016,117,88,128,15,2.1,67,53
1/12/2016,60,33,56,9,0.8,48,57
2/12/2016,129,98,131,19,2.1,85,17
3/12/2016,259,209,272,24,3.4,113,10
4/12/2016,302,252,284,18,3.6,104,17
5/12/2016,60,43,50,8,1,43,61
6/12/2016,112,84,128,21,2.3,92,11
7/12/2016,170,129,169,23,2.7,100,15
8/12/2016,114,86,119,11,1.7,53,66
9/12/2016,54,25,45,9,0.8,43,48
10/12/2016,80,49,74,14,1.4,64,24
11/12/2016,219,169,204,35,3.5,101,8
12/12/2016,271,221,240,39,3,103,15
13/12/2016,68,49,32,9,1.2,50,43
14/12/2016,58,28,51,11,0.8,46,43
15/12/2016,54,27,53,10,0.9,43,59
