"","station_code","station_name","CityZH","Fenwei","Province","CityEN","designation","YRD","PRD","keyregion","GADM_ID_2","CityID","CityGADM","NAME_2","Lon","Lat","keyregion2018"
"1","1001A","<U+4E07><U+5BFF><U+897F><U+5BAB>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.366,39.8673,"2+26"
"2","1002A","<U+5B9A><U+9675>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.17,40.2865,"2+26"
"3","1003A","<U+4E1C><U+56DB>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.434,39.9522,"2+26"
"4","1004A","<U+5929><U+575B>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.434,39.8745,"2+26"
"5","1005A","<U+519C><U+5C55><U+9986>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.473,39.9716,"2+26"
"6","1006A","<U+5B98><U+56ED>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.361,39.9425,"2+26"
"7","1007A","<U+6D77><U+6DC0><U+533A><U+4E07><U+67F3>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.315,39.9934,"2+26"
"8","1008A","<U+987A><U+4E49><U+65B0><U+57CE>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.72,40.1438,"2+26"
"9","1009A","<U+6000><U+67D4><U+9547>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.644,40.3937,"2+26"
"10","1010A","<U+660C><U+5E73><U+9547>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.23,40.1952,"2+26"
"11","1011A","<U+5965><U+4F53><U+4E2D><U+5FC3>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.407,40.0031,"2+26"
"12","1012A","<U+53E4><U+57CE>","<U+5317><U+4EAC>",FALSE,"Beijing","Beijing","26+2",FALSE,FALSE,"Jingjinji",18,233,18,"Beijing",116.225,39.9279,"2+26"
"13","1013A","<U+5E02><U+76D1><U+6D4B><U+4E2D><U+5FC3>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.151,39.097,"2+26"
"14","1014A","<U+5357><U+53E3><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.193,39.173,"2+26"
"15","1015A","<U+52E4><U+4FED><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.145,39.1654,"2+26"
"16","1016A","<U+5357><U+4EAC><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.184,39.1205,"2+26"
"17","1017A","<U+5927><U+76F4><U+6CBD><U+516B><U+53F7><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.237,39.1082,"2+26"
"18","1018A","<U+524D><U+8FDB><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.202,39.0927,"2+26"
"19","1019A","<U+5317><U+8FB0><U+79D1><U+6280><U+56ED><U+533A>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.1837,39.2133,"2+26"
"20","1020A","<U+5929><U+5C71><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.269,39.1337,"2+26"
"21","1021A","<U+8DC3><U+8FDB><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.307,39.0877,"2+26"
"22","1023A","<U+7B2C><U+56DB><U+5927><U+8857>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.707,39.0343,"2+26"
"23","1024A","<U+6C38><U+660E><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.457,38.8394,"2+26"
"24","1025A","<U+822A><U+5929><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.401,39.124,"2+26"
"25","1026A","<U+6C49><U+5317><U+8DEF>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.764,39.1587,"2+26"
"26","1027A","<U+56E2><U+6CCA><U+6D3C>","<U+5929><U+6D25>",FALSE,"Tianjin","Tianjin","26+2",FALSE,FALSE,"Jingjinji",296,51,296,"Tianjin",117.157,38.9194,"2+26"
"27","1028A","<U+5316><U+5DE5><U+5B66><U+6821>","<U+77F3><U+5BB6><U+5E84>",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1029A","<U+804C><U+5DE5><U+533B><U+9662>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.4548,38.0513,"2+26"
"29","1030A","<U+9AD8><U+65B0><U+533A>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.6046,38.0398,"2+26"
"30","1031A","<U+897F><U+5317><U+6C34><U+6E90>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.5019,38.1398,"2+26"
"31","1032A","<U+897F><U+5357><U+9AD8><U+6559>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.4586111,38.00583333,"2+26"
"32","1033A","<U+4E16><U+7EAA><U+516C><U+56ED>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.5330556,38.01777778,"2+26"
"33","1034A","<U+4EBA><U+6C11><U+4F1A><U+5802>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.5214,38.0524,"2+26"
"34","1035A","<U+5C01><U+9F99><U+5C71>","<U+77F3><U+5BB6><U+5E84>",FALSE,"Hebei","Shijiazhuang","26+2",FALSE,FALSE,"Jingjinji",97,259,97,"Shijiazhuang",114.3541,37.9097,"2+26"
"35","1036A","<U+4F9B><U+9500><U+793E>","<U+5510><U+5C71>",FALSE,"Hebei","Tangshan","26+2",FALSE,FALSE,"Jingjinji",98,43,98,"Tangshan",118.1662,39.6308,"2+26"
"36","1037A","<U+96F7><U+8FBE><U+7AD9>","<U+5510><U+5C71>",FALSE,"Hebei","Tangshan","26+2",FALSE,FALSE,"Jingjinji",98,43,98,"Tangshan",118.144,39.643,"2+26"
"37","1038A","<U+7269><U+8D44><U+5C40>","<U+5510><U+5C71>",FALSE,"Hebei","Tangshan","26+2",FALSE,FALSE,"Jingjinji",98,43,98,"Tangshan",118.1853,39.6407,"2+26"
"38","1039A","<U+9676><U+74F7><U+516C><U+53F8>","<U+5510><U+5C71>",FALSE,"Hebei","Tangshan","26+2",FALSE,FALSE,"Jingjinji",98,43,98,"Tangshan",118.2185,39.6679,"2+26"
"39","1040A","<U+5341><U+4E8C><U+4E2D>","<U+5510><U+5C71>",FALSE,"Hebei","Tangshan","26+2",FALSE,FALSE,"Jingjinji",98,43,98,"Tangshan",118.1838,39.65782,"2+26"
"40","1041A","<U+5C0F><U+5C71>","<U+5510><U+5C71>",FALSE,"Hebei","Tangshan","26+2",FALSE,FALSE,"Jingjinji",98,43,98,"Tangshan",118.1997,39.6295,"2+26"
"41","1042A","<U+5317><U+6234><U+6CB3><U+73AF><U+4FDD><U+5C40>","<U+79E6><U+7687><U+5C9B>",FALSE,"Hebei","Qinhuangdao","neighbor1",FALSE,FALSE,"Jingjinji",96,248,96,"Qinhuangdao",119.5259,39.8283,NA
"42","1043A","<U+7B2C><U+4E00><U+5173>","<U+79E6><U+7687><U+5C9B>",FALSE,"Hebei","Qinhuangdao","neighbor1",FALSE,FALSE,"Jingjinji",96,248,96,"Qinhuangdao",119.7624,40.0181,NA
"43","1044A","<U+76D1><U+6D4B><U+7AD9>","<U+79E6><U+7687><U+5C9B>",FALSE,"Hebei","Qinhuangdao","neighbor1",FALSE,FALSE,"Jingjinji",96,248,96,"Qinhuangdao",119.6023,39.9567,NA
"44","1045A","<U+5E02><U+653F><U+5E9C>","<U+79E6><U+7687><U+5C9B>",FALSE,"Hebei","Qinhuangdao","neighbor1",FALSE,FALSE,"Jingjinji",96,248,96,"Qinhuangdao",119.607,39.9358,NA
"45","1046A","<U+5EFA><U+8BBE><U+5927><U+53A6>","<U+79E6><U+7687><U+5C9B>",FALSE,"Hebei","Qinhuangdao","neighbor1",FALSE,FALSE,"Jingjinji",96,248,96,"Qinhuangdao",119.5369,39.9419,NA
"46","1047A","<U+73AF><U+4FDD><U+5C40>","<U+90AF><U+90F8>",FALSE,"Hebei","Handan","26+2",FALSE,FALSE,"Jingjinji",93,288,93,"Handan",114.5129,36.61763,"2+26"
"47","1048A","<U+4E1C><U+6C61><U+6C34><U+5904><U+7406><U+5382>","<U+90AF><U+90F8>",FALSE,"Hebei","Handan","26+2",FALSE,FALSE,"Jingjinji",93,288,93,"Handan",114.5426,36.6164,"2+26"
"48","1049A","<U+77FF><U+9662>","<U+90AF><U+90F8>",FALSE,"Hebei","Handan","26+2",FALSE,FALSE,"Jingjinji",93,288,93,"Handan",114.5035,36.5776,"2+26"
"49","1050A","<U+4E1B><U+53F0><U+516C><U+56ED>","<U+90AF><U+90F8>",FALSE,"Hebei","Handan","26+2",FALSE,FALSE,"Jingjinji",93,288,93,"Handan",114.4965,36.61981,"2+26"
