"location_id","province","city","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"aba_chn.26_1_cn","Sichuan","Aba",14.7535407034742,15.837980565391,13.8032839685332,18.4545220356713,16.757909773153,"13.6%","16.5%",0.135856816337439,0.16520676101838
"aksu_chn.28_1_cn","Xinjiang Uygur","Aksu",52.115486660428,42.3045135428959,39.4619160097492,43.6561502417512,44.6454425833221,"-14.3%","3.2%",-0.143336358456727,0.0319501770770794
"ali_chn.29_1_cn","Xizang","Ali",8.60586254619207,5.87508511673248,5.86002893749536,7.15472309668655,8.88900484097139,"3.3%","21.8%",0.0329010942551715,0.217807564406108
"altay_chn.28_1_cn","Xinjiang Uygur","Altay",9.37373584795251,10.4200499780092,10.3209291060454,11.8080931759146,11.3724191516061,"21.3%","13.3%",0.21322163714376,0.133208881035581
"alxa_chn.19_1_cn","Nei Mongol","Alxa",31.4446901449317,22.5750630918088,24.8720301555011,22.7614301127225,23.6541230492092,"-24.8%","0.8%",-0.247754614843237,0.00825543743358925
"ankang_chn.22_1_cn","Shaanxi","Ankang",38.5455187552522,33.8453519173324,33.334550417037,38.1270316152888,39.0712982829978,"1.4%","12.7%",0.0136404838934476,0.126507170273022
"anqing_chn.1_1_cn","Anhui","Anqing",48.6652490562785,40.354956476133,36.4401039289038,39.7222972369646,38.7029359519178,"-20.5%","-1.6%",-0.204711026811759,-0.0156773614547846
"anshan_chn.18_1_cn","Liaoning","Anshan",51.7834312131634,37.8843382625105,37.8776722273093,35.9605657231185,47.5179175607561,"-8.2%","-5.1%",-0.0823721710299294,-0.0507801542173345
"anshun_chn.8_1_cn","Guizhou","Anshun",23.9792955496671,21.7852714482621,23.0492395587441,24.7235371771526,30.3399187503499,"26.5%","13.5%",0.26525479814486,0.134873955363309
"anyang_chn.12_1_cn","Henan","Anyang",83.0218973064204,59.7202519334211,56.6262806371287,59.9971008078174,59.5966235305627,"-28.2%","0.5%",-0.282157774465196,0.00463576199753857
"baicheng_chn.17_1_cn","Jilin","Baicheng",37.4038348481655,23.3520691900646,27.762646107656,24.0757487067792,29.4063037354295,"-21.4%","3.1%",-0.213815806459434,0.0309899525744195
"baise_chn.7_1_cn","Guangxi","Baise",31.6470987316413,28.3931970309355,28.9523854469073,27.8058912205495,37.8643233449426,"19.6%","-2.1%",0.196454805099882,-0.0206847369018071
"baishan_chn.17_1_cn","Jilin","Baishan",36.7273537279783,26.0726138683476,27.6910216057048,27.9413085431826,30.8288837150342,"-16.1%","7.2%",-0.16060155209197,0.0716727016428365
"baiyin_chn.5_1_cn","Gansu","Baiyin",31.602018003578,28.7570895833986,26.877616252764,27.9120841063774,25.3201615631485,"-19.9%","-2.9%",-0.198780231051012,-0.0293842488674192
"baoding_chn.10_1_cn","Hebei","Baoding",74.8951475813875,48.4289785058806,49.5735509036983,49.6082075668302,54.0564004170574,"-27.8%","2.4%",-0.278238949214767,0.0243496579389217
"baoji_chn.22_1_cn","Shaanxi","Baoji",53.39367218442,47.75224300033,46.7373111435363,48.9684979825525,50.9665360563476,"-4.5%","2.5%",-0.0454573740440469,0.0254701120995324
"baoshan_chn.30_1_cn","Yunnan","Baoshan",20.2712883435497,21.001719911468,21.2937397843633,18.7960186191871,29.2246322504682,"44.2%","-10.5%",0.44167611624781,-0.105024793282599
"baotou_chn.19_1_cn","Nei Mongol","Baotou",43.2318762552481,38.55404658401,42.0198542824986,35.5132119771182,32.3177081796748,"-25.2%","-7.9%",-0.252456497865932,-0.07887199597235
"bayan nur_chn.19_1_cn","Nei Mongol","Bayan Nur",38.0977974776004,31.4464506695564,31.3369736175239,26.1841787910186,24.0803475484938,"-36.8%","-16.7%",-0.367933341483799,-0.1673407257892
"bazhong_chn.26_1_cn","Sichuan","Bazhong",33.4781425115194,28.9188004896237,29.0617309677069,26.837131662209,29.0195701702178,"-13.3%","-7.2%",-0.133178605705723,-0.0719832355481534
"beihai_chn.7_1_cn","Guangxi","Beihai",25.5844541358038,25.3872435988565,24.4480296506579,28.7801922617637,31.329003679476,"22.5%","13.4%",0.224532816419684,0.133647776675527
"beijing_chn.2_1_cn","Beijing","Beijing",55.8140309554241,38.00937769038,38.9976802905859,40.2857575438741,47.6557579651678,"-14.6%","6%",-0.146168854866834,0.059889953264618
"bengbu_chn.1_1_cn","Anhui","Bengbu",60.5852087313882,49.1606510533306,46.0801159634774,46.257623524709,41.7789584388179,"-31%","-5.9%",-0.310409928204591,-0.0590518527810449
"benxi_chn.18_1_cn","Liaoning","Benxi",47.6087249884354,33.3548859275383,31.872426196392,31.0209904827739,38.4326107309257,"-19.3%","-7%",-0.192740180707184,-0.0699716212441781
"bijie_chn.8_1_cn","Guizhou","Bijie",30.9579017085945,30.279094707084,27.9804374352749,26.36177925926,27.9896287474873,"-9.6%","-12.9%",-0.0958809479094362,-0.12937359870629
"binzhou_chn.23_1_cn","Shandong","Binzhou",64.5352940709981,47.8309705207768,48.4995673226635,49.2242002472416,53.9508042337264,"-16.4%","2.9%",-0.164010871719702,0.0291281927022495
"bozhou_chn.1_1_cn","Anhui","Bozhou",55.7240875779605,52.4327322370284,49.8498356903265,47.3357562743753,42.2330923117732,"-24.2%","-9.7%",-0.24210347540124,-0.0972098104598393
"bozhou_chn.28_1_cn","Xinjiang Uygur","Bozhou",25.149107216499,24.2747221247324,23.3574563358823,22.0845544890329,21.0415504748024,"-16.3%","-9%",-0.163328133533179,-0.0902242103718244
"cangzhou_chn.10_1_cn","Hebei","Cangzhou",60.6722517535331,44.5875392255402,44.3342061441797,48.0154675760048,47.9756173645558,"-20.9%","7.7%",-0.20926591682396,0.0768808597649864
"changchun_chn.17_1_cn","Jilin","Changchun",45.12730806205,33.9642851647617,37.3620543432061,35.5244831138378,38.5575929800964,"-14.6%","4.6%",-0.145581807647826,0.045936428265974
"changde_chn.14_1_cn","Hunan","Changde",45.8166909833534,41.6282696991503,40.5519240756843,47.7507541386241,46.1230248861912,"0.7%","14.7%",0.00668607654247921,0.14707516031104
"changji_chn.28_1_cn","Xinjiang Uygur","Changji",42.900129043527,42.0664047700972,41.7099325450933,41.1190505413753,31.5580775886774,"-26.4%","-2.3%",-0.264382688530885,-0.0225204467531607
"changsha_chn.14_1_cn","Hunan","Changsha",45.2465910308608,43.4245246877718,41.7193146998519,49.4283097572254,51.4833389653026,"13.8%","13.8%",0.137839067924209,0.138257934027413
"changshu_chn.15_1_cn","Jiangsu","Changshu",40.9603583588061,35.1140710367454,33.9102321134292,33.4567818420318,33.8871921235701,"-17.3%","-4.7%",-0.172683211735508,-0.0471972957216867
"changzhi_chn.25_1_cn","Shanxi","Changzhi",54.0834733899589,41.8515891513711,42.2606829599589,40.5283770296661,47.6373999303629,"-11.9%","-3.2%",-0.119187490291495,-0.0316167712752575
"changzhou_chn.15_1_cn","Jiangsu","Changzhou",50.3538949412526,45.0809995138079,43.9089862422802,42.1588549520933,44.4453416882505,"-11.7%","-6.5%",-0.117340540585699,-0.0648198707488631
"chaoyang_chn.18_1_cn","Liaoning","Chaoyang",44.3537944040169,33.2287850977765,32.5914088989719,31.4120925316899,34.3621577290234,"-22.5%","-5.5%",-0.225271294356016,-0.0546722536120705
