"gadm1_id","province","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1","2021Q1_vs_2019Q1_str","2020Q4_vs_2019Q4_str","2021Q1_vs_2019Q1","2020Q4_vs_2019Q4"
"chn.1_1","Anhui",55.82227482847,71.9502400032223,53.9959054145126,53.2664901824722,53.0933307773554,49.3433142153772,"-31.4%","-1.7%",-0.31420222902429,-0.0167156126048499
"chn.10_1","Hebei",65.628333925098,75.3832681994725,55.1376481506166,66.8499798780852,51.8829244814797,59.0609537250838,"-21.7%","-5.9%",-0.216524367598364,-0.0590290623250044
"chn.11_1","Heilongjiang",27.8325089866825,48.4607052076539,32.2436032617694,48.4079590870704,27.1112973798499,38.5794376959401,"-20.4%","-15.9%",-0.203902676805313,-0.159172839345928
"chn.12_1","Henan",78.7697133193491,98.1646847909955,69.3812535888946,77.5112384958914,70.2427042995113,70.1280178895018,"-28.6%","1.2%",-0.285608484977944,0.0124161883225842
"chn.13_1","Hubei",51.5953494462995,68.7917455864219,49.5660829125738,46.9678313707454,51.7738263526813,50.6305317636149,"-26.4%","4.5%",-0.2640028053946,0.0445414144184355
"chn.14_1","Hunan",43.0639360194988,55.6313592460484,50.0450866582917,39.5568034876137,49.9983714052665,47.9682058026149,"-13.8%","-0.1%",-0.137748808357183,-0.00093346332566413
"chn.15_1","Jiangsu",48.8075336353401,62.522394433678,45.6442398210975,45.4516367968281,42.1072205620487,44.6120272150801,"-28.6%","-7.7%",-0.286463232587753,-0.0774910322290858
"chn.16_1","Jiangxi",36.0960878001105,38.9736625708244,43.0131000827856,31.2050907434499,40.2743355337988,37.4623748322579,"-3.9%","-6.4%",-0.0387771545930582,-0.0636728006982887
"chn.17_1","Jilin",31.5328455110172,53.184066832873,35.4033784635599,49.6785424205333,30.2262943465495,41.4655662056785,"-22%","-14.6%",-0.220338558614163,-0.146231358183489
"chn.18_1","Liaoning",43.7696159611179,61.0868086728935,45.6836741886346,59.183049224911,41.5898200838881,58.83219990335,"-3.7%","-9%",-0.0369082755921396,-0.0896130658808731
"chn.19_1","Nei Mongol",30.115949693981,33.7668656386815,30.4604671298258,42.3399521557749,27.1766517023546,31.4279093104882,"-6.9%","-10.8%",-0.0692677950396997,-0.107805813137244
"chn.2_1","Beijing",51.5731053009532,51.0314045106252,42.5292611290197,51.7245756803329,35.600833045647,61.6269699334921,"20.8%","-16.3%",0.207628332484181,-0.162909674408736
"chn.20_1","Ningxia Hui",38.8062153506329,42.6196435600676,33.9763236077258,49.4468691746669,43.4783039032966,38.8873891878992,"-8.8%","28%",-0.0875712244497819,0.279664757296171
"chn.21_1","Qinghai",23.1217799376254,28.2751600550574,22.161357974952,23.9269431382448,26.9845559748661,26.4337241007085,"-6.5%","21.8%",-0.065125571376547,0.217640002267262
"chn.22_1","Shaanxi",52.4712220110307,76.0551871190976,52.0339864615569,62.8995802300865,51.3879349069939,57.3962493259746,"-24.5%","-1.2%",-0.245334190867275,-0.0124159534661126
"chn.23_1","Shandong",52.1134917559039,73.5908653968822,54.1139469097142,57.8027938452938,53.4123363126816,55.2378855568645,"-24.9%","-1.3%",-0.249392091546124,-0.0129654301173626
"chn.24_1","Shanghai",34.8454094148722,47.6110268273058,36.9822430690019,38.4526286251743,31.8934947426626,35.4467559540832,"-25.5%","-13.8%",-0.255492722669997,-0.137599775028374
"chn.25_1","Shanxi",57.3022556742805,77.1809231421132,51.8371750797408,67.810748717999,49.701831614276,56.8125266854454,"-26.4%","-4.1%",-0.263904545675924,-0.0411932838195745
"chn.26_1","Sichuan",40.6675534832025,51.0373074625982,38.0179701330208,43.1651856915615,38.2594987426337,49.7354319320007,"-2.6%","0.6%",-0.0255083113769587,0.00635301171440328
"chn.27_1","Tianjin",61.7617924965663,71.5569340335188,55.3072821396349,69.2398815159504,52.1577534850007,59.0576730178905,"-17.5%","-5.7%",-0.174675748541342,-0.0569460029997948
"chn.28_1","Xinjiang Uygur",50.8526717378875,67.7047340978548,53.8893406761109,63.7992109930227,50.5873968042293,58.2001544408554,"-14%","-6.1%",-0.140382792778748,-0.061272671560915
"chn.29_1","Xizang",14.418318314064,12.8178913810339,13.5178645155048,10.7591319426893,14.1200864406009,12.9821552445138,"1.3%","4.5%",0.0128152017049343,0.0445500784835784
"chn.3_1","Chongqing",44.4786867462087,56.6299925496419,41.5598414899719,44.8628210285428,39.3884579379047,49.7059719268902,"-12.2%","-5.2%",-0.122267729713757,-0.0522471567316033
"chn.30_1","Yunnan",19.2688958019726,27.1020248772379,20.5618079193335,29.5474824650494,19.3869917410135,35.6345600648233,"31.5%","-5.7%",0.314830173252167,-0.0571358405315795
"chn.31_1","Zhejiang",34.5707608901351,41.8013191369074,36.9790140033653,28.4558294339384,31.3709760802135,32.0445725684193,"-23.3%","-15.2%",-0.233407623729119,-0.151654609358741
"chn.4_1","Fujian",22.5482270559068,27.8941718388201,27.7955993965281,24.7181809965993,20.8372467284419,30.4589090089907,"9.2%","-25%",0.0919452703235044,-0.2503400832923
"chn.5_1","Gansu",37.2218758068779,38.3126769976623,31.2328287570391,36.682949922787,32.4472579865064,33.6430056263646,"-12.2%","3.9%",-0.12188319212418,0.0388831008204313
"chn.6_1","Guangdong",32.3830603899685,31.6069798817335,38.1320614966849,26.0274563773552,29.889376816752,32.0955079899412,"1.5%","-21.6%",0.015456336228129,-0.216161528026736
"chn.7_1","Guangxi",33.1630774638948,34.6744147746048,39.7806950726571,31.683098866082,34.6352962295509,44.4504689240012,"28.2%","-12.9%",0.28193854785853,-0.129344116127393
"chn.8_1","Guizhou",24.961086999473,30.5654541625882,28.1073567765731,29.1787910259939,26.155980426545,35.3743186645812,"15.7%","-6.9%",0.157330052300647,-0.0694258220557604
"chn.9_1","Hainan",17.7040419682041,16.2237674821259,19.9988532951587,12.7111440446862,19.208968590898,18.9829262251727,"17%","-3.9%",0.170068927953178,-0.0394964997544085
