"city","province","count"
"Anqing","Anhui",1
"Anshan","Liaoning",3
"Anyang","Henan",12
"Baoding","Hebei",3
"Baoji","Shaanxi",4
"Bayan Nur","Nei Mongol",1
"Beijing","Beijing",5
"Bengbu","Anhui",2
"Benxi","Liaoning",1
"Binzhou","Shandong",8
"Bozhou","Anhui",1
"Changchun","Jilin",1
"Changde","Hunan",1
"Changji","Xinjiang Uygur",1
"Changsha","Hunan",3
"Changshu","Jiangsu",1
"Chaoyang","Liaoning",3
"Chengdu","Sichuan",1
"Chenzhou","Hunan",1
"Dalian","Liaoning",1
"Dazhou","Sichuan",2
"Deyang","Sichuan",2
"Dongying","Shandong",5
"Ezhou","Hubei",1
"Fushun","Liaoning",4
"Fuxin","Liaoning",3
"Fuyang","Anhui",1
"Guang'an","Sichuan",1
"Haimen","Jiangsu",1
"Handan","Hebei",3
"Hanzhong","Shaanxi",6
"Harbin","Heilongjiang",3
"Hebi","Henan",9
"Hengshui","Hebei",5
"Hengyang","Hunan",4
"Heze","Shandong",1
"Huai'an","Jiangsu",3
"Huainan","Anhui",3
"Huludao","Liaoning",7
"Ili Kazak","Xinjiang Uygur",12
"Jiamusi","Heilongjiang",1
"Jiangyin","Jiangsu",1
"Jiaonan","Shandong",1
"Jiaozhou","Shandong",5
"Jimo","Shandong",4
"Jinan","Shandong",1
"Jingmen","Hubei",6
"Jining","Shandong",9
"Jinzhou","Liaoning",6
"Jiuquan","Gansu",1
"Kaifeng","Henan",15
"Kunshan","Jiangsu",1
"Laibin","Guangxi",3
"Laixi","Shandong",4
"Langfang","Hebei",2
"Leshan","Sichuan",2
"Liangshan","Sichuan",2
"Lianyungang","Jiangsu",2
"Liaoyang","Liaoning",7
"Liaoyuan","Jilin",1
"Linfen","Shanxi",4
"Linyi","Shandong",7
"Luohe","Henan",11
"Luoyang","Henan",5
"Mudanjiang","Heilongjiang",2
"Nanchong","Sichuan",1
"Nantong","Jiangsu",1
"Nanyang","Henan",9
"Neijiang","Sichuan",1
"Panjin","Liaoning",8
"Pingdingshan","Henan",4
"Pingdu","Shandong",6
"Pingxiang","Jiangxi",1
"Puyang","Henan",15
"Rizhao","Shandong",3
"Sanmenxia","Henan",4
"Shanghai","Shanghai",1
"Shangqiu","Henan",12
"Shaoyang","Hunan",3
"Shenyang","Liaoning",5
"Shihezi","Xinjiang Uygur",40
"Shijiazhuang","Hebei",5
"Shiyan","Hubei",1
"Shouguang","Shandong",2
"Siping","Jilin",1
"Suizhou","Hubei",1
"Suqian","Jiangsu",5
"Suzhou","Anhui",3
"Suzhou","Jiangsu",1
"Tai'an","Shandong",6
"Taicang","Jiangsu",1
"Taizhou","Jiangsu",1
"Tangshan","Hebei",1
"Tianjin","Tianjin",1
"Tieling","Liaoning",4
"Tongchuan","Shaanxi",1
"Urumqi","Xinjiang Uygur",32
"Weifang","Shandong",5
"Weinan","Shaanxi",6
"Wuhan","Hubei",3
"Wujiang","Jiangsu",1
"Wujiaqu","Xinjiang Uygur",35
"Wulanchabu","Nei Mongol",2
"Xi'an","Shaanxi",5
"Xiangtan","Hunan",2
"Xiangyang","Hubei",9
"Xianyang","Shaanxi",15
"Xinganmeng","Nei Mongol",1
"Xingtai","Hebei",5
"Xinyang","Henan",4
"Xinzhou","Shanxi",2
"Xuchang","Henan",15
"Xuzhou","Jiangsu",1
"Yancheng","Jiangsu",1
"Yangquan","Shanxi",2
"Yangzhou","Jiangsu",1
"Yantai","Shandong",1
"Yibin","Sichuan",4
"Yichang","Hubei",3
"Yingkou","Liaoning",3
"Yiyang","Hunan",2
"Yongzhou","Hunan",1
"Yuncheng","Shanxi",1
"Zaozhuang","Shandong",2
"Zhangjiagang","Jiangsu",1
"Zhangqiu","Shandong",1
"Zhaoyuan","Shandong",8
"Zhengzhou","Henan",9
"Zhoukou","Henan",12
"Zhumadian","Henan",4
"Zhuzhou","Hunan",4
"Zibo","Shandong",8
"Zigong","Sichuan",3
"Ziyang","Sichuan",1
