"location_id","province","city","2019Q4","2020Q1","2020Q4","2021Q1"
"anqing_chn.1_1_cn","Anhui","Anqing",0,0,1,0
"anshan_chn.18_1_cn","Liaoning","Anshan",0,6,0,3
"anyang_chn.12_1_cn","Henan","Anyang",12,19,4,8
"baishan_chn.17_1_cn","Jilin","Baishan",0,1,0,0
"baoding_chn.10_1_cn","Hebei","Baoding",0,14,0,3
"baoji_chn.22_1_cn","Shaanxi","Baoji",4,6,1,3
"baotou_chn.19_1_cn","Nei Mongol","Baotou",2,21,0,0
"bayan nur_chn.19_1_cn","Nei Mongol","Bayan Nur",0,5,0,1
"beijing_chn.2_1_cn","Beijing","Beijing",1,6,0,5
"bengbu_chn.1_1_cn","Anhui","Bengbu",0,1,2,0
"benxi_chn.18_1_cn","Liaoning","Benxi",0,0,0,1
"binzhou_chn.23_1_cn","Shandong","Binzhou",4,6,6,2
"bozhou_chn.1_1_cn","Anhui","Bozhou",0,4,1,0
"cangzhou_chn.10_1_cn","Hebei","Cangzhou",3,7,0,0
"changchun_chn.17_1_cn","Jilin","Changchun",3,7,0,1
"changde_chn.14_1_cn","Hunan","Changde",1,0,0,1
"changji_chn.28_1_cn","Xinjiang Uygur","Changji",0,8,0,1
"changsha_chn.14_1_cn","Hunan","Changsha",2,0,0,3
"changshu_chn.15_1_cn","Jiangsu","Changshu",0,2,1,0
"changzhi_chn.25_1_cn","Shanxi","Changzhi",0,5,0,0
"changzhou_chn.15_1_cn","Jiangsu","Changzhou",0,2,0,0
"chaoyang_chn.18_1_cn","Liaoning","Chaoyang",1,2,0,3
"chengde_chn.10_1_cn","Hebei","Chengde",0,1,0,0
"chengdu_chn.26_1_cn","Sichuan","Chengdu",0,0,1,0
"chenzhou_chn.14_1_cn","Hunan","Chenzhou",0,0,0,1
"chifeng_chn.19_1_cn","Nei Mongol","Chifeng",0,1,0,0
"dalian_chn.18_1_cn","Liaoning","Dalian",0,1,0,1
"daqing_chn.11_1_cn","Heilongjiang","Daqing",2,4,0,0
"dazhou_chn.26_1_cn","Sichuan","Dazhou",2,0,1,1
"deyang_chn.26_1_cn","Sichuan","Deyang",1,0,2,0
"dezhou_chn.23_1_cn","Shandong","Dezhou",2,11,0,0
"dongying_chn.23_1_cn","Shandong","Dongying",3,4,5,0
"enshi_chn.13_1_cn","Hubei","Enshi",2,0,0,0
"ezhou_chn.13_1_cn","Hubei","Ezhou",0,0,1,0
"fushun_chn.18_1_cn","Liaoning","Fushun",0,3,1,3
"fuxin_chn.18_1_cn","Liaoning","Fuxin",2,2,0,3
"fuyang_chn.1_1_cn","Anhui","Fuyang",0,5,0,1
"guang'an_chn.26_1_cn","Sichuan","Guang'an",0,0,1,0
"haimen_chn.15_1_cn","Jiangsu","Haimen",0,1,1,0
"handan_chn.10_1_cn","Hebei","Handan",1,5,0,3
"hanzhong_chn.22_1_cn","Shaanxi","Hanzhong",0,2,2,4
"harbin_chn.11_1_cn","Heilongjiang","Harbin",6,17,0,3
"hebi_chn.12_1_cn","Henan","Hebi",10,10,3,6
"hechi_chn.7_1_cn","Guangxi","Hechi",0,1,0,0
"hengshui_chn.10_1_cn","Hebei","Hengshui",2,8,3,2
"hengyang_chn.14_1_cn","Hunan","Hengyang",1,0,3,1
"heze_chn.23_1_cn","Shandong","Heze",2,4,1,0
"hohhot_chn.19_1_cn","Nei Mongol","Hohhot",2,18,0,0
"hotan_chn.28_1_cn","Xinjiang Uygur","Hotan",0,5,0,0
"huai'an_chn.15_1_cn","Jiangsu","Huai'an",0,3,2,1
"huaibei_chn.1_1_cn","Anhui","Huaibei",0,8,0,0
"huaihua_chn.14_1_cn","Hunan","Huaihua",1,0,0,0
"huainan_chn.1_1_cn","Anhui","Huainan",1,2,2,1
"huludao_chn.18_1_cn","Liaoning","Huludao",1,4,0,7
"ili kazak_chn.28_1_cn","Xinjiang Uygur","Ili Kazak",2,9,5,7
"jiamusi_chn.11_1_cn","Heilongjiang","Jiamusi",1,1,0,1
"jiangyin_chn.15_1_cn","Jiangsu","Jiangyin",0,2,1,0
"jiaonan_chn.23_1_cn","Shandong","Jiaonan",0,2,1,0
"jiaozhou_chn.23_1_cn","Shandong","Jiaozhou",0,4,3,2
"jiaozuo_chn.12_1_cn","Henan","Jiaozuo",3,5,0,0
"jieyang_chn.6_1_cn","Guangdong","Jieyang",0,1,0,0
"jilin_chn.17_1_cn","Jilin","Jilin",2,7,0,0
"jimo_chn.23_1_cn","Shandong","Jimo",1,3,2,2
"jinan_chn.23_1_cn","Shandong","Jinan",1,5,0,1
"jincheng_chn.25_1_cn","Shanxi","Jincheng",0,2,0,0
"jingmen_chn.13_1_cn","Hubei","Jingmen",2,0,2,4
"jining_chn.23_1_cn","Shandong","Jining",3,9,2,7
"jintan_chn.15_1_cn","Jiangsu","Jintan",0,2,0,0
"jinzhong_chn.25_1_cn","Shanxi","Jinzhong",0,1,0,0
"jinzhou_chn.18_1_cn","Liaoning","Jinzhou",2,3,0,6
"jurong_chn.15_1_cn","Jiangsu","Jurong",0,1,0,0
"kaifeng_chn.12_1_cn","Henan","Kaifeng",5,12,7,8
"kashi_chn.28_1_cn","Xinjiang Uygur","Kashi",1,5,0,0
"kunshan_chn.15_1_cn","Jiangsu","Kunshan",0,0,1,0
"laibin_chn.7_1_cn","Guangxi","Laibin",0,1,0,3
"laixi_chn.23_1_cn","Shandong","Laixi",2,3,4,0
"laizhou_chn.23_1_cn","Shandong","Laizhou",2,3,0,0
"langfang_chn.10_1_cn","Hebei","Langfang",0,8,0,2
"leshan_chn.26_1_cn","Sichuan","Leshan",0,0,1,1
"liangshan_chn.26_1_cn","Sichuan","Liangshan",0,0,2,0
"lianyungang_chn.15_1_cn","Jiangsu","Lianyungang",0,2,2,0
"liaocheng_chn.23_1_cn","Shandong","Liaocheng",3,11,0,0
"liaoyang_chn.18_1_cn","Liaoning","Liaoyang",0,7,0,7
"liaoyuan_chn.17_1_cn","Jilin","Liaoyuan",0,1,1,0
"linfen_chn.25_1_cn","Shanxi","Linfen",3,17,0,4
"linyi_chn.23_1_cn","Shandong","Linyi",1,3,4,3
"luohe_chn.12_1_cn","Henan","Luohe",2,11,6,5
"luoyang_chn.12_1_cn","Henan","Luoyang",3,4,2,3
"mudanjiang_chn.11_1_cn","Heilongjiang","Mudanjiang",0,0,0,2
"nanchong_chn.26_1_cn","Sichuan","Nanchong",0,0,0,1
"nantong_chn.15_1_cn","Jiangsu","Nantong",0,1,1,0
"nanyang_chn.12_1_cn","Henan","Nanyang",6,5,6,3
"neijiang_chn.26_1_cn","Sichuan","Neijiang",0,0,0,1
"panjin_chn.18_1_cn","Liaoning","Panjin",3,1,0,8
"pingdingshan_chn.12_1_cn","Henan","Pingdingshan",3,6,2,2
