"keyregion2018","method","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1"
"2+26","Official",71,90,63,-,-,-
"2+26","City with sandstorm",72.6,89.3,63.4,75.4,62.7,67
"2+26","City without sandstorm",68.8,86.1,63.2,74.9,62.6,65.3
"2+26","Station with sandstorm",70.1,80.8,56.8,72,53.3,65.2
"2+26","Station without sandstorm",66.1,74.7,56.2,70.8,53.2,63
"Fenwei","Official",62,94,64,-,-,-
"Fenwei","City with sandstorm",64.9,93,63.5,75.6,59.5,66.6
"Fenwei","City without sandstorm",60.6,91.4,63.4,75.7,59.5,64.7
"Fenwei","Station with sandstorm",66.1,95.3,66.5,78.3,60.8,69.2
"Fenwei","Station without sandstorm",61.3,94.1,66.4,78.3,60.7,66
"PRD","City with sandstorm",33.9,32.5,39.5,24.1,30.5,31.5
"PRD","City without sandstorm",33.9,32.5,39.5,24.1,30.5,31.5
"PRD","Station with sandstorm",33.5,32,39.5,24,30.4,31
"PRD","Station without sandstorm",33.5,32,39.5,24,30.4,30.8
"YRD","Official",48,61,47,-,-,-
"YRD","City with sandstorm",44.8,57.3,43,39.9,38.9,40.2
"YRD","City without sandstorm",44.8,57.1,43,39.9,38.9,40.2
"YRD","Station with sandstorm",44.8,57.4,42.9,40,38.5,40.1
"YRD","Station without sandstorm",44.6,56.8,42.8,40,38.5,40
