"gadm1_id","location_name","gadm1_name","days_polluted","days_all"
"chn.28_1","Wujiaqu","Xinjiang Uygur",23,175
"chn.28_1","Kashi","Xinjiang Uygur",13,175
"chn.23_1","Heze","Shandong",10,175
"chn.25_1","Yuncheng","Shanxi",7,175
"chn.5_1","Baiyin","Gansu",6,175
"chn.28_1","Changji","Xinjiang Uygur",6,175
"chn.23_1","Dezhou","Shandong",6,175
"chn.12_1","Jiaozuo","Henan",6,175
"chn.23_1","Liaocheng","Shandong",6,175
"chn.10_1","Shijiazhuang","Hebei",6,175
"chn.20_1","Shizuishan","Ningxia Hui",6,175
"chn.25_1","Taiyuan","Shanxi",6,175
"chn.25_1","Xinzhou","Shanxi",6,175
"chn.20_1","Zhongwei","Ningxia Hui",6,175
"chn.12_1","Anyang","Henan",5,175
"chn.28_1","Hotan","Xinjiang Uygur",5,109
"chn.23_1","Shouguang","Shandong",5,175
"chn.5_1","Wuwei","Gansu",5,175
"chn.12_1","Xinxiang","Henan",5,175
"chn.23_1","Zaozhuang","Shandong",5,175
"chn.28_1","Aksu","Xinjiang Uygur",4,175
"chn.19_1","Alxa","Nei Mongol",4,175
"chn.19_1","Baotou","Nei Mongol",4,175
"chn.10_1","Handan","Hebei",4,175
"chn.23_1","Jinan","Shandong",4,175
"chn.5_1","Jinchang","Gansu",4,175
"chn.19_1","Ordos","Nei Mongol",4,175
"chn.12_1","Pingdingshan","Henan",4,175
"chn.20_1","Wuzhong","Ningxia Hui",4,175
"chn.21_1","Xining","Qinghai",4,175
"chn.25_1","Yangquan","Shanxi",4,175
"chn.23_1","Zhangqiu","Shandong",4,175
"chn.5_1","Zhangye","Gansu",4,175
"chn.10_1","Cangzhou","Hebei",3,175
"chn.25_1","Datong","Shanxi",3,175
"chn.1_1","Fuyang","Anhui",3,175
"chn.21_1","Haidong","Qinghai",3,169
"chn.10_1","Hengshui","Hebei",3,175
"chn.19_1","Hohhot","Nei Mongol",3,175
"chn.5_1","Jiayuguan","Gansu",3,175
"chn.25_1","Jinzhong","Shanxi",3,175
"chn.23_1","Laizhou","Shandong",3,175
"chn.5_1","Lanzhou","Gansu",3,175
"chn.25_1","Linfen","Shanxi",3,175
"chn.5_1","Linxia","Gansu",3,175
"chn.25_1","Luliang","Shanxi",3,175
"chn.28_1","Shihezi","Xinjiang Uygur",3,175
"chn.25_1","Shuozhou","Shanxi",3,175
"chn.22_1","Weinan","Shaanxi",3,175
"chn.22_1","Xi'an","Shaanxi",3,175
"chn.10_1","Xingtai","Hebei",3,175
"chn.22_1","Yulin","Shaanxi",3,175
"chn.19_1","Bayan Nur","Nei Mongol",2,175
"chn.1_1","Bozhou","Anhui",2,175
"chn.5_1","Dingxi","Gansu",2,175
"chn.21_1","Haibei","Qinghai",2,174
"chn.28_1","Hami","Xinjiang Uygur",2,175
"chn.1_1","Huaibei","Anhui",2,175
"chn.1_1","Huainan","Anhui",2,175
"chn.21_1","Huangnan","Qinghai",2,174
"chn.5_1","Jiuquan","Gansu",2,175
"chn.12_1","Luohe","Henan",2,175
"chn.12_1","Luoyang","Henan",2,175
"chn.12_1","Nanyang","Henan",2,175
"chn.10_1","Tangshan","Hebei",2,175
"chn.27_1","Tianjin","Tianjin",2,175
"chn.28_1","Turpan","Xinjiang Uygur",2,175
"chn.15_1","Xuzhou","Jiangsu",2,175
"chn.22_1","Yan'an","Shaanxi",2,175
"chn.23_1","Yantai","Shandong",2,175
"chn.20_1","Yinchuan","Ningxia Hui",2,175
"chn.18_1","Anshan","Liaoning",1,175
"chn.10_1","Baoding","Hebei",1,175
"chn.2_1","Beijing","Beijing",1,175
"chn.18_1","Benxi","Liaoning",1,175
"chn.23_1","Binzhou","Shandong",1,175
"chn.25_1","Changzhi","Shanxi",1,175
"chn.26_1","Chengdu","Sichuan",1,175
"chn.26_1","Dazhou","Sichuan",1,175
"chn.13_1","Ezhou","Hubei",1,175
"chn.18_1","Fushun","Liaoning",1,175
"chn.6_1","Guangzhou","Guangdong",1,175
"chn.20_1","Guyuan","Ningxia Hui",1,175
"chn.21_1","Hainan","Qinghai",1,174
"chn.12_1","Hebi","Henan",1,175
"chn.18_1","Huludao","Liaoning",1,175
"chn.15_1","Jiangyin","Jiangsu",1,175
"chn.23_1","Jiaonan","Shandong",1,175
"chn.23_1","Jiaozhou","Shandong",1,175
"chn.17_1","Jilin","Jilin",1,175
"chn.23_1","Jimo","Shandong",1,175
"chn.25_1","Jincheng","Shanxi",1,175
"chn.28_1","Korla","Xinjiang Uygur",1,175
"chn.23_1","Laixi","Shandong",1,175
"chn.10_1","Langfang","Hebei",1,175
"chn.23_1","Qingdao","Shandong",1,175
"chn.10_1","Qinhuangdao","Hebei",1,175
"chn.28_1","Urumqi","Xinjiang Uygur",1,175
"chn.23_1","Weifang","Shandong",1,175
"chn.19_1","Wuhai","Nei Mongol",1,175
"chn.19_1","Wulanchabu","Nei Mongol",1,175
"chn.12_1","Xinyang","Henan",1,175
"chn.16_1","Yichun","Jiangxi",1,175
"chn.10_1","Zhangjiakou","Hebei",1,175
"chn.23_1","Zhaoyuan","Shandong",1,175
"chn.15_1","Zhenjiang","Jiangsu",1,175
"chn.23_1","Zibo","Shandong",1,175
